FundTicker,SecurityNum,Issuer Ticker,Shares,MarketValue,Weight (%),Name,Sector
QQQ,02079K107,GOOG,"2,853,450","3,527,834,373",4.731,Alphabet Inc,Communication Services
QQQ,30303M102,FB,"19,523,552","3,490,420,626.56",4.681,Facebook Inc,Communication Services
QQQ,02079K305,GOOGL,"2,494,738","3,093,824,383.32",4.149,Alphabet Inc,Communication Services
QQQ,20030N101,CMCSA,"40,638,074","1,729,962,810.18",2.32,Comcast Corp,Communication Services
QQQ,64110L106,NFLX,"3,928,354","1,393,544,297.96",1.869,Netflix Inc,Communication Services
QQQ,16119P108,CHTR,"2,027,672","733,388,685.68",0.984,Charter Communications Inc,Communication Services
QQQ,872590104,TMUS,"7,650,025","554,320,811.50",0.743,T-Mobile US Inc,Communication Services
QQQ,56752108,BIDU,"2,507,350","427,076,925.50",0.573,Baidu Inc ADR,Communication Services
QQQ,00507V109,ATVI,"6,872,711","309,134,540.78",0.415,Activision Blizzard Inc,Communication Services
QQQ,285512109,EA,"2,695,664","247,866,304.80",0.332,Electronic Arts Inc,Communication Services
QQQ,82968B103,SIRI,"39,101,821","235,001,944.21",0.315,Sirius XM Holdings Inc,Communication Services
QQQ,64110W102,NTES,"658,723","176,722,206.44",0.237,NetEase Inc ADR,Communication Services
QQQ,G5480U120,LBTYK,"4,737,469","126,679,921.06",0.17,Liberty Global PLC,Communication Services
QQQ,35137L105,FOXA,"3,146,601","122,213,982.84",0.164,Fox Corp,Communication Services
QQQ,874054109,TTWO,"1,018,175","91,371,024.50",0.123,Take-Two Interactive Software Inc,Communication Services
QQQ,35137L204,FOX,"2,373,749","90,700,949.29",0.122,Fox Corp,Communication Services
QQQ,G5480U104,LBTYA,"1,839,858","50,706,486.48",0.068,Liberty Global PLC,Communication Services
QQQ,254687106,DIS,"10,417","1,372,439.75",0.002,Walt Disney Co/The,Communication Services
QQQ,23135106,AMZN,"3,983,173","7,427,900,673.86",9.962,Amazon.com Inc,Consumer Discretionary
QQQ,855244109,SBUX,"11,189,507","840,555,765.84",1.127,Starbucks Corp,Consumer Discretionary
QQQ,09857L108,BKNG,"405,002","745,118,629.58",0.999,Booking Holdings Inc,Consumer Discretionary
QQQ,88160R101,TSLA,"1,554,087","421,515,017.01",0.565,Tesla Inc,Consumer Discretionary
QQQ,571903202,MAR,"3,069,369","417,219,328.17",0.56,Marriott International Inc/MD,Consumer Discretionary
QQQ,778296103,ROST,"3,334,438","333,177,044.96",0.447,Ross Stores Inc,Consumer Discretionary
QQQ,278642103,EBAY,"8,231,797","296,097,738.09",0.397,eBay Inc,Consumer Discretionary
QQQ,67103H107,ORLY,"705,215","285,097,268.05",0.382,O'Reilly Automotive Inc,Consumer Discretionary
QQQ,47215P106,JD,"8,319,114","248,325,552.90",0.333,JD.com Inc ADR,Consumer Discretionary
QQQ,256746108,DLTR,"2,141,153","231,244,524",0.31,Dollar Tree Inc,Consumer Discretionary
QQQ,58733R102,MELI,"406,717","202,699,618.46",0.272,MercadoLibre Inc,Consumer Discretionary
QQQ,22943F100,CTRP,"4,381,127","192,550,531.65",0.258,Ctrip.com International Ltd ADR,Consumer Discretionary
QQQ,90384S303,ULTA,"533,670","189,095,291.10",0.254,Ulta Beauty Inc,Consumer Discretionary
QQQ,550021109,LULU,"1,094,428","187,398,906.44",0.251,Lululemon Athletica Inc,Consumer Discretionary
QQQ,30212P303,EXPE,"1,209,185","150,930,471.70",0.202,Expedia Group Inc,Consumer Discretionary
QQQ,983134107,WYNN,"968,492","138,843,013.12",0.186,Wynn Resorts Ltd,Consumer Discretionary
QQQ,418056107,HAS,"1,132,286","102,109,551.48",0.137,Hasbro Inc,Consumer Discretionary
QQQ,713448108,PEP,"12,638,888","1,605,265,164.88",2.153,PepsiCo Inc,Consumer Staples
QQQ,22160K105,COST,"3,963,385","973,248,820.60",1.305,Costco Wholesale Corp,Consumer Staples
QQQ,609207105,MDLZ,"12,994,127","652,694,999.21",0.875,Mondelez International Inc,Consumer Staples
QQQ,931427108,WBA,"8,488,773","468,070,943.22",0.628,Walgreens Boots Alliance Inc,Consumer Staples
QQQ,500754106,KHC,"10,972,064","360,871,184.96",0.484,Kraft Heinz Co/The,Consumer Staples
QQQ,61174X109,MNST,"4,887,055","268,250,448.95",0.36,Monster Beverage Corp,Consumer Staples
QQQ,G96629103,WLTW,"1,161,603","205,487,570.70",0.276,Willis Towers Watson PLC,Financials
QQQ,31162100,AMGN,"5,599,057","1,021,659,930.79",1.37,Amgen Inc,Health Care
QQQ,375558103,GILD,"11,476,626","725,896,594.50",0.974,Gilead Sciences Inc,Health Care
QQQ,151020104,CELG,"6,317,849","595,773,160.70",0.799,Celgene Corp,Health Care
QQQ,46120E602,ISRG,"1,030,139","540,822,975",0.725,Intuitive Surgical Inc,Health Care
QQQ,452327109,ILMN,"1,322,654","421,516,603.26",0.565,Illumina Inc,Health Care
QQQ,09062X103,BIIB,"1,769,918","402,089,971.24",0.539,Biogen Inc,Health Care
QQQ,92532F100,VRTX,"2,300,290","384,079,421.30",0.515,Vertex Pharmaceuticals Inc,Health Care
QQQ,75886F107,REGN,"966,050","331,326,168.50",0.444,Regeneron Pharmaceuticals Inc,Health Care
QQQ,15351109,ALXN,"2,010,710","253,168,496.10",0.34,Alexion Pharmaceuticals Inc,Health Care
QQQ,16255101,ALGN,"719,733","196,976,527.44",0.264,Align Technology Inc,Health Care
QQQ,156782104,CERN,"2,918,489","182,113,713.60",0.244,Cerner Corp,Health Care
QQQ,45168D104,IDXX,"773,862","166,790,476.86",0.224,IDEXX Laboratories Inc,Health Care
QQQ,45337C102,INCY,"1,925,970","143,138,090.40",0.192,Incyte Corp,Health Care
QQQ,09061G101,BMRN,"1,604,942","132,166,973.70",0.177,BioMarin Pharmaceutical Inc,Health Care
QQQ,N59465109,MYL,"4,642,354","124,090,122.42",0.166,Mylan NV,Health Care
QQQ,806407102,HSIC,"1,362,275","82,730,960.75",0.111,Henry Schein Inc,Health Care
QQQ,126408103,CSX,"7,338,779","579,323,214.26",0.777,CSX Corp,Industrials
QQQ,693718108,PCAR,"3,119,664","221,870,503.68",0.298,PACCAR Inc,Industrials
QQQ,910047109,UAL,"2,399,927","214,169,485.48",0.287,United Continental Holdings Inc,Industrials
QQQ,92345Y106,VRSK,"1,471,180","201,463,389.20",0.27,Verisk Analytics Inc,Industrials
QQQ,172908105,CTAS,"940,649","197,479,851.06",0.265,Cintas Corp,Industrials
