Issuer Ticker,Name,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,CUSIP,Exchange,Country of Risk,Currency,Market Currency,FX Rate
ABX,BARRICK GOLD CORP,1.27,17.4,"7,269,857.00","126,495,511.80","126,495,511.80",Materials,2024644,67901108,Toronto Stock Exchange,Canada,CAD,CAD,1
AEM,AGNICO EAGLE MINES LTD,0.7,47.63,"1,459,046.00","69,494,360.98","69,494,360.98",Materials,2009823,8474108,Toronto Stock Exchange,Canada,CAD,CAD,1
ARX,ARC RESOURCES LTD,0.23,10.26,"2,207,001.00","22,643,830.26","22,643,830.26",Energy,B6463M8,00208D408,Toronto Stock Exchange,Canada,CAD,CAD,1
ATD-B,ALIMENTATION COUCHE TARD SUB VOTIN,1.8,65.76,"2,723,815.00","179,118,074.40","179,118,074.40",Consumer Staples,2011646,01626P403,Toronto Stock Exchange,Canada,CAD,CAD,1
BAM-A,BROOKFIELD ASSET MANAGEMENT INC CL,3.12,57.19,"5,438,525.00","311,029,244.75","311,029,244.75",Financials,2092599,112585104,Toronto Stock Exchange,Canada,CAD,CAD,1
BB,BLACKBERRY LTD,0.35,11.45,"3,008,668.00","34,449,248.60","34,449,248.60",Information Technology,BCBHZ31,09228F103,Toronto Stock Exchange,Canada,CAD,CAD,1
BBD-B,BOMBARDIER INC CLASS B,0.32,2.4,"13,083,963.00","31,401,511.20","31,401,511.20",Industrials,2109723,97751200,Toronto Stock Exchange,Canada,CAD,CAD,1
BCE,BCE INC,3.16,56.2,"5,593,000.00","314,326,600.00","314,326,600.00",Communication,B188TH2,05534B760,Toronto Stock Exchange,Canada,CAD,CAD,1
BHC,BAUSCH HEALTH COMPANIES INC,0.59,30.85,"1,912,315.00","58,994,917.75","58,994,917.75",Health Care,BFFY852,71734107,Toronto Stock Exchange,Canada,CAD,CAD,1
BMO,BANK OF MONTREAL,3.91,97.69,"3,985,908.00","389,383,352.52","389,383,352.52",Financials,2076009,63671101,Toronto Stock Exchange,Canada,CAD,CAD,1
BNS,BANK OF NOVA SCOTIA,5.41,70.18,"7,672,153.00","538,431,697.54","538,431,697.54",Financials,2076281,64149107,Toronto Stock Exchange,Canada,CAD,CAD,1
CAD,CAD CASH,0.2,100,"19,555,343.00","19,555,343.34","19,555,343.34",Cash and/or Derivatives,-,-,-,Canada,CAD,CAD,1
CCL-B,CCL INDUSTRIES INC CLASS B,0.47,52.27,"897,460.00","46,910,234.20","46,910,234.20",Materials,2159795,124900309,Toronto Stock Exchange,Canada,CAD,CAD,1
CCO,CAMECO CORP,0.39,15.55,"2,466,279.00","38,350,638.45","38,350,638.45",Energy,2166160,13321L108,Toronto Stock Exchange,Canada,CAD,CAD,1
